code,name
JMCAT0952,Premium Jewelry
JMCAT0953,Music
JMCAT0954,Office - Vintage
JMCAT0955,Advanced Pet
JMCAT0956,Baby
JMCAT0957,Art - Deluxe
JMCAT0958,Classic Industrial
JMCAT0959,Medical
JMCAT0960,Electronics - Deluxe
JMCAT0961,Deluxe Tools
JMCAT0962,Furniture
JMCAT0963,Clothing - Compact
JMCAT0964,Classic Sports
JMCAT0965,Books
JMCAT0966,Toys - Modern
JMCAT0967,Classic Food
JMCAT0968,Garden
JMCAT0969,Automotive - Classic
JMCAT0970,Superior Health
JMCAT0971,Beauty
JMCAT0972,Jewelry - Modern
JMCAT0973,Vintage Music
JMCAT0974,Office
JMCAT0975,Pet - Professional
JMCAT0976,Professional Baby
JMCAT0977,Art
JMCAT0978,Industrial - Superior
JMCAT0979,Modern Medical
JMCAT0980,Electronics
JMCAT0981,Tools - Superior
JMCAT0982,Classic Furniture
JMCAT0983,Clothing
JMCAT0984,Sports - Compact
JMCAT0985,Standard Books
JMCAT0986,Toys
JMCAT0987,Food - Vintage
JMCAT0988,Compact Garden
JMCAT0989,Automotive
JMCAT0990,Health - Standard
JMCAT0991,Vintage Beauty
JMCAT0992,Jewelry
JMCAT0993,Music - Professional
JMCAT0994,Superior Office
JMCAT0995,Pet
JMCAT0996,Baby - Deluxe
JMCAT0997,Vintage Art
JMCAT0998,Industrial
JMCAT0999,Medical - Deluxe
